id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1188338907474122953,Luxury Living Close to French Quarter,585802778,Tigran,,Central Business District,29.95499,-90.07406,Entire home/apt,98,1,1,2024-08-07,1,61,134,1,24-XSTR-08058
28523071,New Orleans Loft in the Warehouse (Art) District 2,19571902,Rick And Renée,,Lower Garden District,29.94108,-90.06854,Entire home/apt,,30,7,2019-02-19,0.10,3,0,0,
20468647,Gorgeous Luxury Lower Garden Home (Upstairs Home),23623763,Juanita,,Irish Channel,29.9239,-90.08329,Entire home/apt,,2,60,2024-06-23,0.76,2,100,9,23-xstr-17605
766510628760449455,The 𝒞𝑜𝓏𝓎 Hideaway,237336807,Lacha Management,,Seventh Ward,29.9718,-90.07129,Entire home/apt,,30,0,,,6,0,0,
655101592065924706,Newly Renovated Historical Mansion Off St. Charles,106289693,Vello,,Central City,29.93753,-90.08086,Entire home/apt,300,30,34,2024-07-21,1.34,72,57,14,"22-RSTR-10047, 22-OSTR-01548"
18992861,Degas House! William Bell Suite- Balcony,130923573,Em,,Treme - Lafitte,29.97241,-90.07591,Private room,,30,2,2019-03-03,0.03,7,0,0,Exempt
28640345,Walking distance to Magazine + St. Charles Trolly!,25007169,Katelyn,,Touro,29.92432,-90.09425,Entire home/apt,,30,2,2019-09-01,0.03,1,0,0,
771181331032417304,Gorg NOLA Home! Sleeps 10 Guests,480378144,Shaun,,St. Claude,29.97151,-90.04761,Entire home/apt,,30,0,,,1,0,0,"19STR-87344, 20-OSTR-12193"
774448843563550858,"The Marquee - 2 Bed 2 Bath w/Balcony, Rooftop Pool",38956081,Dodi And Chris,,Central Business District,29.955108,-90.0739589,Private room,,30,1,2024-02-14,0.15,2,0,1,Exempt
774892673281432210,"The Marquee - Upscale Loft, Rooftop Pool, King Bed",38956081,Dodi And Chris,,Central Business District,29.95579,-90.0741,Private room,,30,1,2024-02-14,0.15,2,0,1,Exempt
38450808,Loaded Suite 1.6 miles from Bourbon St!!!,14697645,Revan,,Treme - Lafitte,29.97027,-90.08244,Private room,,30,100,2023-02-20,1.70,1,0,0,"21-RSTR-09745, 20-OSTR-00356"
778422117094638729,Lil Red Door Perfect 1BD in Bywater with Courtyard,64823547,Brenna And Nick,,Bywater,29.96117,-90.03828,Entire home/apt,,30,71,2024-07-05,3.37,85,0,27,"22-RSTR-08574, 22-OSTR-11887"
777578418366792756,Festival Headquarters | Entire Home | Sleeps 14,490717878,Clio,,Central City,29.94084,-90.07449,Entire home/apt,,1,6,2024-08-16,0.33,2,265,3,"22-CSTR-06596, 22-OSTR-02647"
43238187,Steps to Quarter & Frenchmen #4,344300832,Ann,,Marigny,29.9638671875,-90.05928802490234,Entire home/apt,164,3,14,2024-05-28,1.35,6,178,14,"23-CSTR-09833, 23-OSTR-09833"
870863886333528586,Charming 4-Bedroom Condo near St. Charles Avenue,503340934,Baronne,,Central City,29.93881334735853,-90.07777244746809,Entire home/apt,165,1,18,2024-08-13,1.20,8,325,15,"23-CSTR-08636, 20-OSTR-00670"
28713789,New Orleans Warehouse District 1 bedroom Apartment,19571902,Rick And Renée,,Lower Garden District,29.94058,-90.06934,Entire home/apt,,30,9,2019-02-19,0.13,3,0,0,
53942938,NOLA Charmer: 2BR Mid-City Gem with Local Flair,436977131,Jassie,,Mid-City,29.96485,-90.09621,Entire home/apt,80,1,54,2024-07-07,1.69,4,361,17,"22-CSTR-11254, 23-OSTR-00206"
46543368,Comfortable Modern House In Safe Tulane Ave,393425768,Sam,,Mid-City,29.96508,-90.09803,Entire home/apt,115,1,129,2024-07-14,2.84,34,336,21,"22-CSTR-11577, 21-OSTR-12387"
53891538,Treme Studio near The Quarter (Monthly Rental),5198765,Andrew,,Treme - Lafitte,29.966652,-90.066811,Entire home/apt,70,30,9,2024-07-06,0.31,1,304,4,
784867976077679171,Club Wyndham Avenue Plaza LA,66506549,Ryan,,Central City,29.93577,-90.07942,Private room,,30,0,,,2,90,0,Exempt
916674054890841236,Nola Condo Located Uptown Nola,11372242,Thiamanti,,Lower Garden District,29.9350307,-90.0749858,Entire home/apt,60,30,2,2024-02-04,0.15,30,57,1,
707912266378104341,Wyndham Avenue Plaza | 1BR/1BA Queen Suite,442029804,Live Suite,,Central City,29.93594,-90.07938,Entire home/apt,130,30,0,,,40,313,0,23-xstr-12345
20634214,'Major Manor' New Orleans Home w/ Pool & Game Room,122380652,Evolve,,Read Blvd East,30.0253,-89.95147,Entire home/apt,,30,11,2021-08-16,0.14,24,0,0,
762287139666360128,Whole house Rental,42701720,Thersa,,East Riverside,29.9189,-90.08868,Entire home/apt,,1,3,2023-05-29,0.15,3,178,0,"22-RSTR-00978, 22-OSTR-00975"
785736389200569854,Marigny Condo,47205283,Rodrigo,,Marigny,29.964410365673405,-90.05342215311386,Entire home/apt,,30,1,2023-07-05,0.07,1,9,0,
